Year,Series,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
1990,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
1991,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,29.8245614
1992,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
1993,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
1994,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
1995,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
1996,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,33.33333333
1997,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,33.33333333
1998,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,40.35087719
1999,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,43.85964912
2000,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
2001,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,42.10526316
2002,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,43.85964912
2003,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,45.61403509
2004,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,43.85964912
2005,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
2006,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
2007,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
2008,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,45.61403509
2009,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,49.12280702
2010,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,50.87719298
2011,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,56.14035088
2012,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,54.38596491
2013,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,59.64912281
2014,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,61.40350877
2015,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,57.89473684
2016,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,54.38596491
2017,"State (biomass remaining, %)",Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,59.64912281
1990,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.31578947
1991,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
1992,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
1993,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333
1994,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877193
1995,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
1996,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,40.35087719
1997,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
1998,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877193
1999,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333
2000,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,38.59649123
2001,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
2002,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877193
2003,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,35.0877193
2004,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
2005,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,42.10526316
2006,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,43.85964912
2007,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,42.10526316
2008,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,36.84210526
2009,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,33.33333333
2010,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,31.57894737
2011,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,26.31578947
2012,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017544
2013,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.80701754
2014,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,21.05263158
2015,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,24.56140351
2016,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,28.07017544
2017,"State (biomass remaining, %)",Percentage of fish stocks below MSY Btrigger,Percentage (%),Units,Undefined,22.80701754
1990,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,42.10526316
1991,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,38.59649123
1992,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,36.84210526
1993,"State (biomass remaining, %)",Percentage of fish stocks unknown,Percentage (%),Units,Undefined,29.8245614
